 T: 2018-02-09 21:55:49,304 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e96c1f73-241d-4705-9541-cc55bbded44e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,722 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,723 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,887 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,888 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,888 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,888 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,889 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,889 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,889 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:55:59,889 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,330 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,330 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,330 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,377 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,377 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:56:43,377 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:39,083 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:39,084 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetpopupTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:49,147 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetpopupTitle ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:49,147 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:49,147 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:49,148 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ClickOnButtonByName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:49,148 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickOnButtonInPopup ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:55,997 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickOnButtonInPopup ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:55,997 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ClickOnButtonByName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:55,997 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:55,997 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,587 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,587 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,587 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '109d92f0-b7f1-4c9a-a803-00fdc863452d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,667 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,668 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:57,668 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickCreateNewPackageLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:59,876 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickCreateNewPackageLink ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:59,876 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 21:57:59,876 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'c0a4094e-fe45-4c2b-8172-e9bc8bebdb65' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Exit ~ ScreenShot File = Not Applicable 
