 T: 2018-02-09 20:47:12,821 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fce6b038-7ea3-4ad9-95c7-e0f5258ad30d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:22,133 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:22,133 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,076 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,076 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,076 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,122 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,122 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:47:58,122 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:45,897 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:45,899 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetpopupTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:55,892 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetpopupTitle ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:55,892 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:55,892 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:55,893 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ClickOnButtonByName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:48:55,893 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickOnButtonInPopup ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:02,421 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickOnButtonInPopup ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:02,421 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ClickOnButtonByName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:02,421 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:02,421 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,219 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,219 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,219 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '767df0f9-c12c-4b03-94b2-13d66d6d5311' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,275 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,276 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:03,276 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickCreateNewPackageLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:05,184 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickCreateNewPackageLink ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:05,184 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 20:49:05,184 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewPackageForCOMETUser' with id 'f2f49474-cc5d-40e2-ae9d-9ba676d1a565' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Exit ~ ScreenShot File = Not Applicable 
