 T: 2018-02-09 15:59:13,846 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'edd93077-16f9-4105-9ce3-89f2e923a77e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:23,424 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:23,424 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:23,424 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,034 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,034 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,034 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,034 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 15:59:24,284 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,784 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,784 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,784 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,940 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,940 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:00:00,940 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-09 16:02:28,535 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '28e2400f-bafc-4b00-9511-45396a608d7e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Timed out after 120 seconds ~ ScreenShot File = 20182916228 
