 T: 2018-02-02 20:45:15,537 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '75d95d56-7ab1-40bd-888a-75f3a0a4b2f3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,065 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,066 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,067 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,685 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,685 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =Create New Employee as commet user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:45:23,685 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:12,596 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsDefinition ~ MethodName = EnterNewEmployeeDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,563 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,564 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,564 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,565 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,565 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,565 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,565 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateGivenNameGUID ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:13,565 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = HEDGlobalHomePage ~ MethodName = GenerateCourseGUID ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,306 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,307 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,307 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,386 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = SaveUserInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,386 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetailsInMemory ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-02 20:46:45,386 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '76a7dcb3-0b96-41d6-ae27-14796fe9edda' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = AddUserPage ~ MethodName = StoreUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
